"","Lab No","Core","Drive","depth_core","Tracer Added","Lycopodium","Delitschia","Sporormiella","Ascobolus","Saccobolus","Podospora","Strattonia","Sordaria","Xylariaceae","Apiosordaria","Cercophora","Ascodesmis","Melanospora","Chaetomium","Coniochaeta","Gelasinospora","Total Count","Delitschia, Sporormiella, Podospora, Cercopohra, Sordaria","OCFS Concentration","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"1",201,"7A","3B 91",391,14285,54,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,76,0,0,"3B",91,391,10118,9302.95,10466.05,44
"2",202,"7A","3B 107",407,14285,46,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,62,0,0,"3B",107,407,11126,10736.9,11603.25,70.5
"3",203,"7A","3B 123",423,14285,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,0,0,"3B",123,423,12046,11904.95,12331.05,17
"4",7,"4A","1B 100cm",291,14285,60,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,63,1,238.083333333333,"1B",100,428,12138.5,11943.95,12486.1,17.5
"5",8,"4A","1B 116cm",307,14285,95,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,97,0,0,"1B",116,444,12425,12091.9,12751.05,15
"6",9,"4A","1B 132cm",323,14285,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,1,303.936170212766,"1B",132,460,12683,12377.75,12933.05,12
"7",10,"4A","1B 140cm",331,14285,71,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,77,5,1005.98591549296,"1B",140,468,12856,12641.95,13050.1,31
"8",17,"4A","2B 6cm",347,14285,67,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,80,1,213.208955223881,"2B",6,484,13297,12963.95,13654.05,20.5
"9",18,"4A","2B 22cm",363,14285,47,1,6,0,0,0,0,2,0,0,1,0,0,3,15,0,75,10,3039.36170212766,"2B",22,500,13655,13279.95,13915.05,20.5
"10",19,"4A","2B 38cm",379,14285,37,1,6,0,0,0,0,2,0,0,0,0,0,2,14,0,62,9,3474.72972972973,"2B",38,516,14130.5,13906.9,14379.05,24.5
"11",20,"4A","2B, 54cm",395,14285,33,3,4,0,0,0,0,3,0,0,2,0,0,3,4,0,52,12,5194.54545454545,"2B",54,532,14681.5,14389.95,14949.05,34.5
"12",22,"4A","2B 86cm",427,14285,42,4,2,0,0,0,0,0,0,3,0,0,0,0,2,0,53,6,2040.71428571429,"2B",86,564,15703.5,15386.95,15990.05,37
"13",91,"4A","3L 2cm",443,14285,112,15,16,0,0,0,0,1,0,0,1,0,0,0,11,0,156,33,4208.97321428571,"3L",2,581,16094,15736.9,16422.2,16.5000000000018
"14",23,"4A","3L 10cm",451,14285,87,3,5,0,0,0,0,1,0,0,0,0,0,1,4,0,101,9,1477.75862068966,"3L",10,589,16323.5,15963.85,16698,34.4999999999982
"15",12,"4A","3L 34",475,14285,40,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,47,6,2142.75,"3L",34,613,16804.5,16405.75,17152.15,20.5
"16",13,"4A","3L 50",491,14285,82,0,14,0,0,0,0,1,0,0,1,0,0,0,4,0,102,16,2787.31707317073,"3L",50,629,17104,16738.8,17312.2,23.5
"17",14,"4A","3L 66cm",507,14285,86,8,23,0,0,0,0,4,0,0,2,0,0,0,11,0,134,37,6145.87209302326,"3L",66,645,17658.5,17428.95,17974.1,26.5
"18",15,"4A","3L 82cm",532,14285,66,5,12,0,0,0,0,2,0,0,2,0,0,0,0,0,87,21,4545.22727272727,"3L",91,670,18033.5,17676.9,18435.05,17.5
"19",16,"4A","3L 90",531,14285,19,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0,28,8,6014.73684210526,"3L",90,669,18016,17668.85,18413.1,15.5
"20",24,"4A","4L 6cm",547,14285,86,2,9,0,0,1,0,2,0,0,2,0,0,0,3,0,105,16,2657.67441860465,"4L",6,685,18379,17965,18739.15,12
"21",25,"4A","4L 22cm",563,41696,267,7,25,0,0,2,0,3,0,0,0,0,0,0,17,0,321,37,5778.09737827715,"4L",22,701,18637.5,18230.85,18911.05,15.5
"22",26,"4A","4L 38cm",579,41696,159,10,47,0,0,2,0,4,0,0,3,0,0,0,12,0,237,66,17307.7735849057,"4L",38,717,19045,18778.95,19515.05,55
"23",27,"4A",NA,595,41696,31,6,17,0,0,2,0,3,1,0,1,0,0,5,3,0,69,29,39005.935483871,"4L",54,733,19719.5,19108.95,20655.95,43.5
"24",28,"4A","4L 70cm",611,41696,284,14,60,0,0,5,0,4,0,0,1,0,0,0,7,1,376,84,12332.6197183099,"4L",70,749,20351.5,19556,21189.4,38
"25",29,"4A","4L 86cm",627,41696,226,7,43,0,0,2,0,8,0,0,1,0,0,0,7,0,294,61,11254.2300884956,"4L",86,765,21034.5,20299.9,21630.05,45
"26",30,"4A","4L 94cm",635,41696,260,13,30,0,0,5,0,2,0,0,0,0,0,0,17,0,327,50,8018.46153846154,"4L",94,773,21544,20932.7,22012.05,47
"27",31,"4A","5L 10cm",651,41696,40,4,10,0,0,1,0,3,0,0,1,0,0,1,1,0,61,19,19805.6,"5L",10,789,21961,21465.95,22386.15,24
"28",32,"4A","5L 26cm",667,41696,79,5,28,0,0,1,0,4,0,0,0,0,0,0,7,0,124,38,20056.3037974684,"5L",26,805,22755,22303.8,23355.2,62.5
"29",33,"4A","5L 43cm",683,41696,159,3,8,0,0,0,0,1,0,0,0,0,0,0,3,0,174,12,3146.8679245283,"5L",42,821,23757,23382.9,23944.05,69
"30",34,"4A","5L 58cm",699,41696,91,4,5,0,0,2,0,0,0,0,0,0,0,0,3,0,105,11,5040.17582417582,"5L",58,837,24411.5,23984.9,25033.4,34.5
"31",35,"4A","5L 74cm",715,41696,110,2,2,0,0,1,0,6,2,0,1,1,0,2,0,0,127,12,4548.65454545455,"5L",74,853,25081.5,24453.95,25873.05,30.5
"32",36,"4A","5L 82cm",723,41696,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,"5L",82,861,25326,24599.7,26148.05,37
"33",37,"4A","5L 90cm",739,41696,278,5,7,0,0,3,0,2,0,0,1,0,0,0,1,0,297,18,2699.74100719424,"5L",98,877,25771,24929.65,26600.15,26
"34",38,"4A","6L 6cm",747,41696,313,2,20,0,0,4,0,3,0,0,0,0,0,0,2,0,344,29,3863.20766773163,"6L",6,885,26003,25131.9,26761.1,30.5
"35",39,"4A","6L 22cm",763,41696,116,1,20,0,0,1,0,2,1,1,0,0,1,2,2,0,147,24,8626.75862068966,"6L",22,901,26442.5,25583.75,27050.45,26
"36",40,"4A","6L 38cm",779,41696,119,1,10,0,1,5,0,0,0,0,0,0,0,0,3,0,139,16,5606.18487394958,"6L",38,917,26864,26134.75,27353.1,29
"37",41,"4A","6L 54cm",795,41696,166,3,26,0,0,4,0,2,0,1,0,0,0,0,11,0,213,35,8791.32530120482,"6L",54,933,27421,27055,27767.05,52.5
"38",42,"4A","6L 70cm",811,41696,126,1,11,0,0,0,2,3,0,0,1,0,0,0,2,0,146,16,5294.73015873016,"6L",70,949,28407,27710.85,29483.3,63
"39",43,"4A","6L 86cm",827,41696,79,2,7,0,0,2,0,0,0,2,0,0,0,3,0,0,95,11,5805.77215189873,"6L",86,965,29204.5,28125.4,30589.2,44
"40",44,"4A","7L 2 cm",843,41696,149,2,10,1,0,1,0,3,1,0,0,2,0,0,1,2,172,16,4477.42281879195,"7L",2,981,29993,28632.45,31422.1,55.5
"41",45,"4A","7L 18cm",859,41696,213,2,7,0,0,1,1,1,1,0,1,2,0,0,1,0,230,12,2349.07042253521,"7L",18,997,30741.5,29390.5,32174.8,36
"42",90,"4A","7L",867,14285,121,6,11,0,0,5,0,4,4,0,0,0,0,0,3,0,154,26,3069.50413223141,"7L",26,1005,31163,29738.75,32510.35,54
"43",46,"4A","7L 34cm",875,41696,108,0,2,0,0,3,0,1,1,0,2,1,0,0,3,0,121,8,3088.59259259259,"7L",34,1013,31585.5,30172.75,32781.1,63
"44",47,"4A","7L 50cm",891,41696,31,4,5,2,0,1,0,3,0,0,1,0,0,2,0,0,49,14,18830.4516129032,"7L",50,1029,32456.5,31198.9,33247.05,66
"45",48,"4A","7L 66cm",907,41696,198,8,13,0,0,1,0,5,0,0,0,0,0,0,7,2,234,27,5685.81818181818,"7L",66,1045,33614,32860.25,34494.35,89
"46",49,"4A","7L 82cm",923,41696,171,6,15,0,0,2,0,5,0,0,2,0,1,0,4,0,206,30,7315.08771929825,"7L",82,1061,34657,33530.4,36019.7,72
"47",50,"4A","7L",931,41696,195,2,9,0,0,1,0,3,0,0,2,0,0,0,1,2,215,17,3635.0358974359,"7L",90,1069,35147.5,33810.95,36532.3,54
"48",51,"4A","8L 6cm",947,41696,60,1,7,0,0,0,0,1,0,0,0,0,0,2,0,0,71,9,6254.4,"8L",6,1085,36123,34650.1,37477.1,83.5
"49",52,"4A","8L 22cm",963,41696,81,6,13,0,0,5,0,0,0,0,3,1,0,1,8,1,119,27,13898.6666666667,"8L",22,1101,37089,35646.85,37990.7,51.5
"50",53,"4A","8L 38cm",979,41696,103,14,19,0,0,7,0,2,0,0,1,0,0,1,3,0,150,43,17407.067961165,"8L",38,1117,38294.5,38212,38380,100.5
"51",54,"4A","8L 70cm",1011,41696,52,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,56,3,2405.53846153846,"8L",70,1149,39528.5,38677.95,41137.1,37
"52",56,"4A","8L 86cm",1027,41696,144,2,4,1,0,1,0,1,1,0,1,0,0,0,1,2,158,9,2606,"8L",86,1165,40068.5,38946.95,42028.75,46
"53",89,"4A","8L 84cm",1035,14285,111,2,2,0,0,2,0,2,0,0,0,2,0,0,0,0,121,8,1029.54954954955,"8L",94,1173,40346.5,39155.95,42438.2,36
"54",63,"4A","8L 10cm",1051,14285,56,3,5,0,0,1,0,0,1,0,0,6,0,0,1,0,73,9,2295.80357142857,"9L",10,1189,40962,39463.95,43410.05,52.5
"55",64,"4A","8L 26cm",1067,14285,193,0,6,0,0,4,0,0,0,0,0,0,0,0,1,3,207,10,740.155440414508,"9L",26,1205,41527.5,39895.4,44127.1,30
"56",62,"4A","9L 42cm",1082,14285,108,2,5,0,0,0,0,1,0,0,1,0,0,12,0,0,129,9,1190.41666666667,"9L",41,1220,42371.5,40522.3,45111.3,61.5
"57",141,"4A","9L 74cm",1116,14285,48,1,6,0,1,2,0,3,5,0,0,0,0,11,11,4,92,12,3571.25,"9L",75,1254,43982,41715.75,46715.25,29
"58",143,"4A","9L 90cm",1132,14285,37,1,1,1,0,0,0,2,1,0,0,0,0,6,1,0,50,4,1544.32432432432,"9L",91,1270,44681,42420.8,47449.2,64
"59",67,"4A","10L 6cm",1147,14285,67,3,12,0,0,0,0,0,0,1,0,0,0,11,1,0,95,15,3198.13432835821,"10L",6,1285,45303,43026.05,47989.3,19.5
"60",204,"4A",NA,1163,14285,66,2,7,0,0,1,1,3,0,0,5,0,0,24,1,0,110,18,3895.90909090909,"10L",22,1301,45939,43637.75,48672.15,52
"61",205,"4A",NA,1195,14285,161,0,10,0,0,1,0,0,0,1,0,0,0,5,0,0,178,11,975.993788819876,"10L",54,1333,47290,44893.3,50188.4,51
"62",71,"4A","10L 70cm",1213,14285,84,2,10,0,0,6,0,5,2,2,2,0,0,9,0,1,123,25,4251.4880952381,"10L",72,1351,48029,45465.3,50933.6,56.5
"63",206,"4A",NA,1229,14285,83,0,2,0,1,0,0,0,1,0,1,0,0,1,2,0,91,3,516.325301204819,"10L",88,1367,48749,46301.85,51544.05,29
"64",207,"4A",NA,1243,14285,65,1,3,0,0,1,0,0,0,1,0,0,0,1,3,0,75,5,1098.84615384615,"11L",2,1381,49312.5,46983.9,52110.1,44
"65",210,"4A",NA,1259,14285,93,0,6,0,0,2,0,2,1,0,0,0,0,6,6,1,117,10,1536.02150537634,"11L",18,1397,50016,47738.8,52913.25,56.5
"66",75,"4A","11L 34cm",1275,14285,56,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8,2040.71428571429,"11L",34,1413,50768,48426.75,53566.6,46.5
"67",211,"4A",NA,1291,14285,81,1,3,0,0,1,0,1,0,0,3,0,0,18,4,0,112,9,1587.22222222222,"11L",50,1429,51992.5,49699.65,54613.3,46
"68",212,"4A",NA,1307,14285,59,1,2,0,0,0,0,0,0,1,1,0,0,4,3,0,71,4,968.474576271186,"11L",66,1445,52877,50569.85,55346.4,65
"69",213,"4A",NA,1323,14285,46,2,7,0,0,0,0,1,0,0,0,0,0,5,0,0,61,10,3105.4347826087,"11L",82,1461,53841,51429.3,56175.7,41
"70",79,"4A","11L 90cm",1331,14285,194,6,12,0,0,3,0,2,0,0,1,0,0,0,6,1,225,24,1767.21649484536,"11L",90,1469,54345,51892,56471.65,90.5
"71",214,"4A",NA,1363,14285,94,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,97,0,0,"12L",22,1501,56122.5,53812.65,57989.6,51.5
"72",215,"4A",NA,1379,14285,114,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,117,3,375.921052631579,"12L",38,1517,56956.5,54807.6,58590.1,72
"73",216,"4A",NA,1411,14285,69,1,1,0,1,0,0,0,0,0,0,0,0,2,3,0,77,2,414.057971014493,"12L",70,1549,58746.5,57092.9,59501,48.5
"74",217,"4A",NA,1433,14285,77,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,81,3,556.558441558442,"12L",92,1571,60005.5,59725.95,60777.75,43.5
"75",80,"4A","13L 10cm",1451,14285,68,0,9,0,0,2,0,1,0,0,1,0,0,0,2,0,83,13,2730.95588235294,"13L",10,1589,60711.5,59941.85,62064,42.5
"76",218,"4A",NA,1467,14285,89,1,5,0,0,1,0,0,0,1,0,0,0,1,7,1,106,7,1123.5393258427,"13L",26,1605,61361,60217.65,62910.05,53
"77",219,"4A",NA,1483,14285,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,176.358024691358,"13L",42,1621,61977.5,60626.9,63746.95,40.5
"78",220,"4A",NA,1499,14285,97,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,101,3,441.80412371134,"13L",58,1637,62586.5,60980.75,64609.15,35.5
"79",84,"4A","13L 74cm",1515,14285,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,62,1,238.083333333333,"13L",74,1653,63232,61355.95,65371.4,34
"80",221,"4A",NA,1547,14285,88,0,2,0,0,0,0,2,0,0,2,0,0,5,0,0,99,6,973.977272727273,"14L",6,1685,64466.5,62234.15,67024.4,37.5
"81",222,"4A",NA,1563,14285,68,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,73,3,630.220588235294,"14L",22,1701,65098.5,62732.65,67618.1,52
